T(K) logP(GPa) logrho(g/cm^3) logE(MJ/kg) S(MJ/kg/K)
150 -4.0 -3.79165043 0.18638475 0.05543079
150 -3.95750289 -3.74919846 0.1863518 0.05502679
150 -3.91500579 -3.70669255 0.18630492 0.05462265
150 -3.87250868 -3.66427673 0.18625403 0.05421906
150 -3.83001158 -3.62184874 0.18620429 0.05381495
150 -3.78751447 -3.5793775 0.18616616 0.05341048
150 -3.74501736 -3.53688513 0.1861422 0.05300538
150 -3.70252026 -3.49444946 0.18612646 0.05259979
150 -3.66002315 -3.45199944 0.18611164 0.05219373
150 -3.61752605 -3.40954946 0.18609047 0.05178756
150 -3.57502894 -3.36711399 0.18605629 0.05138137
150 -3.53253183 -3.32469313 0.18600689 0.05097525
150 -3.49003473 -3.28228269 0.18594371 0.0505692
150 -3.44753762 -3.23987827 0.18586855 0.05016324
150 -3.40504051 -3.19747546 0.18578311 0.04975737
150 -3.36254341 -3.15507109 0.18568884 0.04935161
150 -3.3200463 -3.11266806 0.18558676 0.04894589
150 -3.2775492 -3.07027161 0.18547753 0.04854014
150 -3.23505209 -3.02788692 0.18536181 0.04813429
150 -3.19255498 -2.98551925 0.1852403 0.04772827
150 -3.15005788 -2.94317266 0.18511232 0.04732202
150 -3.10756077 -2.90084839 0.18497364 0.04691537
150 -3.06506367 -2.85854732 0.18481965 0.0465082
150 -3.02256656 -2.81627031 0.18464573 0.04610038
150 -2.98006945 -2.77401824 0.18444723 0.04569176
150 -2.93757235 -2.73179293 0.18422215 0.04528244
150 -2.89507524 -2.68959731 0.18397131 0.04487273
150 -2.85257814 -2.64743429 0.18369557 0.04446295
150 -2.81008103 -2.60530681 0.18339579 0.0440534
150 -2.76758392 -2.5632178 0.1830725 0.04364429
150 -2.72508682 -2.5211715 0.18272229 0.04323515
150 -2.68258971 -2.47917259 0.18233988 0.04282518
150 -2.6400926 -2.43722575 0.18192005 0.04241362
150 -2.5975955 -2.39533573 0.18145756 0.04199974
150 -2.55509839 -2.35350901 0.18094625 0.04158309
150 -2.51260129 -2.31175678 0.18037752 0.04116416
150 -2.47010418 -2.27009158 0.17974204 0.04074365
150 -2.42760707 -2.228526 0.17903047 0.04032218
150 -2.38510997 -2.18707243 0.17823368 0.03990038
150 -2.34261286 -2.14574649 0.17734901 0.03947837
150 -2.30011576 -2.10456887 0.17638313 0.03905557
150 -2.25761865 -2.06356028 0.17534368 0.03863134
150 -2.21512154 -2.02274149 0.17423841 0.03820511
150 -2.17262444 -1.98213409 0.17307221 0.03777632
150 -2.13012733 -1.94176567 0.17182047 0.03734485
150 -2.08763023 -1.90166803 0.17043792 0.03691086
150 -2.04513312 -1.86187344 0.1688787 0.03647449
150 -2.00263601 -1.82241391 0.1670969 0.03603589
150 -1.96013891 -1.7833279 0.16505933 0.03559523
150 -1.9176418 -1.74468592 0.16278929 0.03515277
150 -1.8751447 -1.70656791 0.16032816 0.03470877
150 -1.83264759 -1.66905358 0.15771737 0.03426351
150 -1.79015048 -1.63222288 0.15499786 0.03381725
150 -1.74765338 -1.59615058 0.15220816 0.03337011
150 -1.70515627 -1.5609013 0.14938311 0.03292192
150 -1.66265916 -1.52653842 0.14655595 0.03247251
150 -1.62016206 -1.49312533 0.14376032 0.03202169
150 -1.57766495 -1.46072501 0.14102648 0.0315694
150 -1.53516785 -1.42938968 0.13830602 0.0311171
150 -1.49267074 -1.39916159 0.13547671 0.03066763
150 -1.45017363 -1.3700826 0.13241453 0.03022373
150 -1.40767653 -1.34219473 0.12899438 0.02978803
150 -1.36517942 -1.31552915 0.12511963 0.02936262
150 -1.32268232 -1.29004536 0.12088393 0.02894695
150 -1.28018521 -1.26567185 0.11646324 0.02853943
150 -1.2376881 -1.24233709 0.11203288 0.0281385
150 -1.195191 -1.21996951 0.10776877 0.0277427
150 -1.15269389 -1.19850458 0.10383007 0.02735074
150 -1.11019679 -1.17789542 0.10033274 0.02696169
150 -1.06769968 -1.15809922 0.09738334 0.02657473
150 -1.02520257 -1.13907299 0.09508916 0.02618909
150 -0.98270547 -1.1207734 0.09355739 0.02580401
150 -0.94020836 -1.10315634 0.09288933 0.02541873
150 -0.89771125 -1.08617687 0.09317864 0.02503249
150 -0.85521415 -1.06978957 0.09451872 0.02464453
150 -0.81271704 -1.05394898 0.09700301 0.02425417
150 -0.77021994 -1.03861092 0.10071698 0.02386084
150 -0.72772283 -1.02374039 0.10566568 0.02346495
150 -0.68522572 -1.00930813 0.11180654 0.02306742
150 -0.64272862 -0.99528506 0.11909659 0.02266915
150 -0.60023151 -0.98164207 0.12749269 0.02227098
150 -0.55773441 -0.96834834 0.13695139 0.02187376
150 -0.5152373 -0.95536695 0.14742563 0.02147838
150 -0.47274019 -0.9426592 0.15886812 0.02108571
150 -0.43024309 -0.93018637 0.17123133 0.02069657
150 -0.38774598 -0.9179099 0.18446787 0.02031174
150 -0.34524888 -0.90579894 0.19854826 0.01993185
150 -0.30275177 -0.89383587 0.21347371 0.01955731
150 -0.26025466 -0.88200456 0.22924874 0.0191885
150 -0.21775756 -0.87028888 0.24587792 0.01882577
150 -0.17526045 -0.85867254 0.26336529 0.01846945
150 -0.13276335 -0.84713904 0.28171448 0.01811983
150 -0.09026624 -0.83567421 0.30092435 0.01777719
150 -0.04776913 -0.824264 0.32099531 0.01744195
150 -0.00527203 -0.81286971 0.34196444 0.01711423
150 0.03722508 -0.80149231 0.36378695 0.01679428
150 0.07972219 -0.79012792 0.38648974 0.01648225
150 0.12221929 -0.77874556 0.41004623 0.01617824
150 0.1647164 -0.76731424 0.43458525 0.01588252
150 0.2072135 -0.75583226 0.45987473 0.01559622
150 0.23487762 Nan Nan Nan
150 0.26254173 Nan Nan Nan
150 0.29020584 Nan Nan Nan
150 0.31786996 Nan Nan Nan
150 0.34553407 Nan Nan Nan
150 0.37319818 Nan Nan Nan
150 0.4008623 Nan Nan Nan
150 0.42852641 Nan Nan Nan
150 0.45619052 Nan Nan Nan
150 0.48385463 Nan Nan Nan
150 0.51151875 Nan Nan Nan
150 0.53918286 Nan Nan Nan
150 0.56684697 Nan Nan Nan
150 0.59451109 Nan Nan Nan
150 0.6221752 Nan Nan Nan
150 0.64983931 Nan Nan Nan
150 0.67750343 Nan Nan Nan
150 0.70516754 Nan Nan Nan
150 0.73283165 Nan Nan Nan
150 0.76049577 Nan Nan Nan
150 0.78815988 Nan Nan Nan
150 0.81582399 Nan Nan Nan
150 0.84348811 Nan Nan Nan
150 0.87115222 Nan Nan Nan
150 0.89881633 Nan Nan Nan
150 0.92648044 Nan Nan Nan
150 0.95414456 Nan Nan Nan
150 0.98180867 Nan Nan Nan
150 1.00947278 Nan Nan Nan
150 1.0371369 Nan Nan Nan
150 1.06480101 Nan Nan Nan
150 1.09246512 Nan Nan Nan
150 1.12012924 Nan Nan Nan
150 1.14779335 Nan Nan Nan
150 1.17545746 Nan Nan Nan
150 1.20312158 Nan Nan Nan
150 1.23078569 Nan Nan Nan
150 1.2584498 Nan Nan Nan
150 1.28611392 Nan Nan Nan
150 1.31377803 Nan Nan Nan
150 1.34144214 Nan Nan Nan
150 1.36910626 Nan Nan Nan
150 1.39677037 Nan Nan Nan
150 1.42443448 Nan Nan Nan
150 1.45209859 Nan Nan Nan
150 1.47976271 Nan Nan Nan
150 1.50742682 Nan Nan Nan
150 1.53509093 Nan Nan Nan
150 1.56275505 Nan Nan Nan
150 1.59041916 Nan Nan Nan
150 1.61808327 Nan Nan Nan
150 1.64574739 Nan Nan Nan
150 1.6734115 Nan Nan Nan
150 1.70107561 Nan Nan Nan
150 1.72873973 Nan Nan Nan
150 1.75640384 Nan Nan Nan
150 1.78406795 Nan Nan Nan
150 1.81173207 Nan Nan Nan
150 1.83939618 Nan Nan Nan
150 1.86706029 Nan Nan Nan
150 1.8947244 Nan Nan Nan
150 1.92238852 Nan Nan Nan
150 1.95005263 Nan Nan Nan
150 1.97771674 Nan Nan Nan
150 2.00538086 Nan Nan Nan
150 2.03304497 Nan Nan Nan
150 2.06070908 Nan Nan Nan
150 2.0883732 Nan Nan Nan
150 2.11603731 Nan Nan Nan
150 2.14370142 Nan Nan Nan
150 2.17136554 Nan Nan Nan
150 2.19902965 Nan Nan Nan
150 2.22669376 Nan Nan Nan
150 2.25435788 Nan Nan Nan
150 2.28202199 Nan Nan Nan
150 2.3096861 Nan Nan Nan
150 2.33735021 Nan Nan Nan
150 2.36501433 Nan Nan Nan
150 2.39267844 Nan Nan Nan
150 2.42034255 Nan Nan Nan
150 2.44800667 Nan Nan Nan
150 2.47567078 Nan Nan Nan
150 2.50333489 Nan Nan Nan
150 2.53099901 Nan Nan Nan
150 2.55866312 Nan Nan Nan
150 2.58632723 Nan Nan Nan
