T[K] rho[g/cm^3] En/atom[Ry] Pr[GPa] errEn errPr
2000 0.3 -1.13208782 14.51272755 0.00024446 0.02387394
2000 0.35 -1.12745524 20.62400522 0.00024574 0.03522688
2000 0.4 -1.12293422 29.04909552 0.00017136 0.02797912
2000 0.45 -1.11738796 38.54484789 0.00016954 0.02964583
2000 0.5 -1.11205404 50.27448577 0.00022102 0.04045575
2000 0.55 -1.10578118 63.14300957 0.00019704 0.04867085
2000 0.6 -1.0984127 76.89808818 0.00022942 0.0527104
2000 0.7 -1.08284668 108.44245978 0.00025716 0.07534217
2000 0.8 -1.0620965 135.47628687 0.00052054 0.17539556
2000 0.9 -1.04591736 175.01065767 0.000306 0.11387954
2000 1.0 -1.03043192 224.39558141 0.00034124 0.13848754
2000 1.2 -0.9983781 346.36660966 0.00039878 0.17491715
2000 1.4 -0.9639576 498.05001159 0.00030772 0.16107494
2000 1.6 -0.92738144 677.10747851 0.00034848 0.20715575
2000 1.8 -0.88909368 883.15739169 0.00012246 0.11197755
2000 2.0 -0.85101566 1108.95289181 0.00011524 0.11532072
2000 2.2 -0.81049744 1365.09682471 0.00012484 0.11943526
2000 2.6 -0.72699962 1951.70305462 0.00013504 0.139051
3000 0.3 -1.11871056 17.46951556 0.00037444 0.0458294
3000 0.35 -1.11390182 24.30768794 0.0003577 0.05315727
3000 0.4 -1.10846908 32.80744591 0.00023004 0.04149912
3000 0.45 -1.10226322 42.79623228 0.0003263 0.06508997
3000 0.5 -1.09548846 53.91115853 0.00030814 0.06032368
3000 0.55 -1.08679964 65.13088892 0.0007219 0.13926324
3000 0.6 -1.07668538 75.74938333 0.000398 0.10105245
3000 0.7 -1.05987614 102.74126709 0.0003394 0.11899094
3000 0.8 -1.04577738 139.19099813 0.00031224 0.12277034
3000 0.9 -1.03162154 184.18341483 0.0003708 0.13711434
3000 1.0 -1.01687282 236.70039999 0.00028196 0.14253923
3000 1.2 -0.98508104 363.59383894 0.00038916 0.19258491
3000 1.4 -0.95044296 518.74030344 0.0003544 0.17370821
3000 1.6 -0.9134491 701.87198806 0.00034506 0.19950021
3000 1.8 -0.87493134 911.54543651 0.0002028 0.16005776
3000 2.0 -0.83658354 1140.65044799 0.0001724 0.14870463
3000 2.2 -0.79574238 1400.36816401 0.00018958 0.1615436
3000 2.6 -0.71192534 1992.95785304 0.00017828 0.17852575
4000 0.3 -1.104022 19.91383086 0.00052994 0.06324557
4000 0.35 -1.09849964 26.96163606 0.00044364 0.06821156
